"date","type_customer","n_trips"
2021-11-21,"casual",4585
2021-11-21,"member",6313
2021-11-21,"all",10898
2021-11-22,"casual",2006
2021-11-22,"member",6434
2021-11-22,"all",8440
2021-11-23,"casual",2381
2021-11-23,"member",7003
2021-11-23,"all",9384
2021-11-24,"casual",2783
2021-11-24,"member",6114
2021-11-24,"all",8897
2021-11-25,"casual",1658
2021-11-25,"member",2440
2021-11-25,"all",4098
2021-11-26,"casual",1578
2021-11-26,"member",2889
2021-11-26,"all",4467
2021-11-27,"casual",2451
2021-11-27,"member",3909
2021-11-27,"all",6360
2021-11-28,"casual",2056
2021-11-28,"member",4290
2021-11-28,"all",6346
2021-11-29,"casual",1775
2021-11-29,"member",7401
2021-11-29,"all",9176
2021-11-30,"casual",2648
2021-11-30,"member",9433
2021-11-30,"all",12081
2021-12-01,"casual",2722
2021-12-01,"member",9617
2021-12-01,"all",12339
2021-12-02,"casual",3936
2021-12-02,"member",11002
2021-12-02,"all",14938
2021-12-03,"casual",4115
2021-12-03,"member",9523
2021-12-03,"all",13638
2021-12-04,"casual",4360
2021-12-04,"member",7604
2021-12-04,"all",11964
2021-12-05,"casual",1608
2021-12-05,"member",3210
2021-12-05,"all",4818
2021-12-06,"casual",1457
2021-12-06,"member",6161
2021-12-06,"all",7618
2021-12-07,"casual",1287
2021-12-07,"member",6042
2021-12-07,"all",7329
2021-12-08,"casual",1883
2021-12-08,"member",7300
2021-12-08,"all",9183
2021-12-09,"casual",2547
2021-12-09,"member",8156
2021-12-09,"all",10703
2021-12-10,"casual",2075
2021-12-10,"member",5972
2021-12-10,"all",8047
2021-12-11,"casual",3010
2021-12-11,"member",5431
2021-12-11,"all",8441
2021-12-12,"casual",3091
2021-12-12,"member",5743
2021-12-12,"all",8834
2021-12-13,"casual",2415
2021-12-13,"member",7406
2021-12-13,"all",9821
2021-12-14,"casual",2626
2021-12-14,"member",8397
2021-12-14,"all",11023
2021-12-15,"casual",3268
2021-12-15,"member",8748
2021-12-15,"all",12016
2021-12-16,"casual",2379
2021-12-16,"member",6928
2021-12-16,"all",9307
